code,entry_date,exit_date,entry_price,exit_price,position_size,return_pct,pnl,exit_reason,entry_score_ml,entry_total_score,held_days,name,sector
000078,2025-11-26,2025-12-05,2.81,5.29,55891.71260477811,88.26,49327.92,PURE_HOLD,14,64,7,,维生素
300113,2024-08-15,2024-08-26,10.44,17.75,49089.03706935032,70.02,34371.73,PURE_HOLD,13,76,7,,云游戏
300975,2026-05-25,2026-06-02,27.31,43.41,54734.8235420294,58.95,32267.69,FORCED_CLOSE,13,88,7,,AI眼镜
002667,2026-03-02,2026-03-11,23.35,33.01,14483.720502505654,41.37,5991.98,PURE_HOLD,14,74,7,,磷化工
301018,2026-02-06,2026-02-25,51.34,69.66,57966.680754491514,35.68,20684.64,PURE_HOLD,14,84,7,,柔性直流输电
603773,2026-05-26,2026-06-02,91.54,122.0,43787.858833623526,33.28,14570.44,FORCED_CLOSE,13,90,7,,钙钛矿电池
301139,2023-11-10,2023-11-15,33.75,44.82,44329.46958414755,32.8,14540.07,PURE_HOLD,10,64,3,,西部大开发
601609,2025-08-13,2025-08-22,9.41,12.33,49603.19890393433,31.03,15392.28,PURE_HOLD,14,78,7,,PEEK材料
603045,2023-07-03,2023-07-12,14.99,19.63,38545.67247712172,30.95,11931.42,PURE_HOLD,14,67,7,,智能家居
002465,2025-12-29,2026-01-09,15.29,19.92,31776.682235571476,30.28,9622.37,PURE_HOLD,14,89,7,,太赫兹
002189,2025-06-23,2025-07-02,21.92,28.5,47605.15786771168,30.02,14290.23,PURE_HOLD,14,59,7,,兵装重组概念
002265,2025-07-18,2025-07-29,33.62,43.1,44282.84094009397,28.2,12486.65,PURE_HOLD,13,94,7,,兵装重组概念
688777,2026-01-08,2026-01-15,52.76,66.8,43404.088783463856,26.61,11550.29,PURE_HOLD,12,89,5,,智能物流
688127,2026-04-30,2026-05-14,76.54,96.77,59121.40086182742,26.43,15626.16,PURE_HOLD,13,90,7,,同花顺果指数
000572,2025-11-03,2025-11-12,7.26,9.13,43208.18381660534,25.76,11129.38,PURE_HOLD,14,75,7,,海南自贸区
603813,2025-04-28,2025-05-12,11.02,13.85,30685.78295687514,25.68,7880.29,PURE_HOLD,14,79,7,,统一大市场
601869,2025-12-11,2025-12-22,101.27,127.05,48351.21017098379,25.46,12308.62,PURE_HOLD,13,67,7,,智能电网
300157,2026-02-24,2026-03-05,6.76,8.46,35578.35745939207,25.15,8947.22,PURE_HOLD,13,72,7,,可燃冰
002306,2023-12-19,2023-12-28,4.27,5.3,42583.685659420364,24.12,10271.94,PURE_HOLD,14,61,7,,TOPCON电池
301338,2026-01-20,2026-01-29,103.12,127.9,48303.88302919228,24.03,11607.55,PURE_HOLD,14,90,7,,华为手机
